model_name,source_domain,primary_scale,survival_body,energy,water,food,health,habitat,infrastructure,mobility,materials,ecology,biodiversity,economy,work,value_creation,entrepreneurship,finance,governance,law_justice,security,community,relationships,family,education,culture,art,media,communication,knowledge,science,technology,ai_computation,ethics,meaning,spirituality,consciousness,future_foresight,planetary_direction,civilizational_purpose,notes
Charles Eisenstein — Sacred Economics / The More Beautiful World,Discovered Additional Models,Civilization / Society / Individual,0,?,?,0,0,0,?,?,?,1,?,1,0,1,?,0,?,?,?,1,1,?,?,0,0,?,?,?,?,?,2,0,1,1,1,1,1,1,
Donella Meadows — Thinking in Systems + Dancing with Systems,Discovered Additional Models,All scales (Individual / Community / Society / Civ,1,2,2,2,1,1,2,1,2,2,2,2,1,1,1,1,2,1,1,1,2,0,1,1,0,1,2,2,2,1,1,2,1,1,2,2,2,2,
One Health Framework — WHO/FAO/OIE,Discovered Additional Models,Planet / Civilization (with applications at Societ,2,1,2,2,2,1,1,1,0,2,2,1,0,0,0,1,2,1,2,?,0,0,1,0,0,1,1,2,2,1,2,1,0,0,0,2,1,0,
Integral Ecology — Sean Esbjörn-Hargens / Michael Zimmerman,Discovered Additional Models,Planet / Society / Individual (It integrates multi,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,
Christopher Alexander — A Pattern Language / The Nature of Order,Missing Models (Gap Analysis),Individual / Community / Society / Planet (Ranges ,1,1,1,1,1,2,2,2,2,2,1,1,2,1,1,0,1,0,1,0,2,2,2,2,2,0,0,1,1,1,1,1,2,2,2,0,1,1,
E.F. Schumacher — Small Is Beautiful / Appropriate Technology,Missing Models (Gap Analysis),Community / Organization / Society,2,2,1,2,1,2,2,1,2,2,1,2,2,2,1,1,1,0,1,2,1,1,2,1,1,0,0,2,1,2,0,2,2,2,2,2,2,2,
Ivan Illich — Tools for Conviviality / Deschooling Society,Missing Models (Gap Analysis),Society / Civilization,2,2,1,1,2,2,2,2,1,2,0,2,2,2,0,0,1,1,0,2,2,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2,2,2,
Fritjof Capra — The Web of Life / The Systems View of Life,Missing Models (Gap Analysis),Planet / Civilization / Organization / Community /,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,
Joanna Macy — The Work That Reconnects / Active Hope,Missing Models (Gap Analysis),Individual / Community / Planet,1,1,1,1,1,1,0,0,0,2,2,1,1,1,0,0,1,1,1,2,2,1,1,2,1,0,1,1,1,0,1,2,2,2,2,2,2,2,
Jane Jacobs — The Death and Life of Great American Cities,Missing Models (Gap Analysis),Community / Society,1,0,0,1,1,2,2,2,1,0,0,2,2,2,2,1,1,1,2,2,2,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,
Paulo Freire — Pedagogy of the Oppressed,Missing Models (Gap Analysis),Society / Civilization (with strong implications f,1,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,2,2,1,2,2,1,2,2,1,1,2,2,0,0,0,2,2,1,2,2,1,2,
Vandana Shiva — Earth Democracy / Seed Sovereignty,Missing Models (Gap Analysis),Planet / Civilization / Community,2,1,2,2,2,1,0,0,1,2,2,2,2,2,1,0,2,2,1,2,2,1,1,2,0,0,0,2,2,1,2,2,2,2,1,2,2,2,
Nassim Nicholas Taleb — Antifragile / Black Swan,Missing Models (Gap Analysis),Society / Organization / Individual / Civilization,2,0,0,1,0,0,1,0,0,1,1,2,1,2,2,2,2,1,2,1,0,0,1,1,2,1,0,2,2,1,2,2,1,0,0,2,1,0,
Edgar Morin — Complex Thought / La Méthode,Missing Models (Gap Analysis),Civilization / Planet (with strong implications fo,1,1,0,0,1,1,0,0,0,2,2,1,1,1,0,0,2,1,1,2,2,1,2,2,1,1,2,2,2,1,1,2,2,1,2,2,2,2,
Jan Gehl — Cities for People / Life Between Buildings,Missing Models (Gap Analysis),Community / Society (with strong foundations in th,2,0,0,1,2,2,2,2,1,1,0,1,2,1,0,0,1,0,2,2,2,1,0,1,2,0,2,0,0,0,2,1,1,0,0,1,0,1,
Muhammad Yunus — Social Business / Grameen Bank,Missing Models (Gap Analysis),Society / Organization / Individual,2,1,2,2,2,2,1,0,0,1,0,2,2,2,2,2,1,1,1,2,2,2,2,1,0,0,0,1,0,1,2,2,1,0,0,0,1,1,
Johan Galtung — Peace Studies / Structural Violence,Missing Models (Gap Analysis),"Society, Civilization, and Planet, although the fr",2,0,1,1,2,1,2,1,0,1,0,2,1,1,0,1,2,2,2,2,2,1,2,2,1,2,2,2,1,0,2,2,2,1,1,2,2,2,
"Product-Service Systems / Sharing Economy — Botsman & Rogers, Stahel",Missing Models (Gap Analysis),Society / Organization / Individual,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,0,2,2,0,1,1,0,1,2,1,1,2,1,1,0,0,0,2,2,1,
David Graeber — Debt: The First 5000 Years / Bullshit Jobs,Missing Models (Gap Analysis),Society / Civilization,1,0,0,1,1,0,0,0,0,0,0,2,2,2,0,2,2,2,1,2,2,1,1,1,0,1,1,1,0,1,1,2,2,1,?,1,1,2,
